Index,Stimulus to total investigation DLC [%],Total investigation time DLC [%],Discrimination Index DLC,Stimulus to total investigation DEG [%],Total investigation time DEG [%],Discrimination Index DEG,Median speed [km/h],Distance per recording [m],Immobile time [%]
240220_top_1_V1_Experiment_Urinright,74.1307371349096,8.148232094288305,0.4826147426981919,74.29123711340206,13.191296464188577,0.4858247422680412,0.1093205430179698,57.34719770570177,39.990367180417046
240220_top_2_V1_Experiment_Urinright,67.15135492399207,4.286604714415232,0.3430270984798413,53.088279602289845,9.40333182230281,0.0617655920457969,0.1135254285046044,58.73209740612639,40.29068449682684
240220_top_104_V1_Experiment_Urinright,70.55837563451777,8.372053490480507,0.4111675126903553,71.03580562659847,8.86219401631913,0.4207161125319693,0.1054033929423421,61.29216499793718,43.68200362647325
240220_top_105_V1_Experiment_Urinright,85.3225806451613,3.513145965548504,0.7064516129032258,81.27421437795952,6.581482320942883,0.6254842875591907,0.1667659567983009,71.57620065422655,24.91783771532185
240220_top_117_V1_Experiment_Urinright,65.58388157894737,6.890299184043518,0.3116776315789473,63.397336101020585,16.37862647325476,0.2679467220204117,0.1171092234036655,67.62236198108502,39.04691749773345
240220_top_95_V1_Experiment_Urinright,45.106696100073584,3.850294650951949,-0.0978660779985283,59.79772439949432,2.241047144152312,0.1959544879898862,0.1078293640157168,55.71860464971731,39.55689029918405
240222_top_104_V1.2_Experiment_Urinleft,76.0,3.187330009066183,0.52,87.47283145623395,14.338735267452401,0.7494566291246789,0.12710328234552526,65.80217817574454,32.805417044424296
240222_top_105_V1.2_Experiment_Urinleft,49.976883957466484,6.128173164097915,-0.0004623208506703652,45.20783975877665,13.154465095194922,-0.09584320482446694,0.1507121742257404,76.75206022683348,31.320829555757022
240222_top_117_V1.2_Experiment_Urinleft,47.59825327510917,3.892792384406165,-0.048034934497816595,58.67602808425276,5.649365367180417,0.17352056168505517,0.15204450674786785,72.34875623994215,27.85018132366274
240222_top_1_V1.2_Experiment_Urinleft,56.5078093712455,7.0744560290117855,0.1301561874249099,62.25225225225225,15.724161378059836,0.24504504504504504,0.126554580256758,68.21308936623277,36.86253399818676
240222_top_2_V1.2_Experiment_Urinleft,55.275779376498804,2.362873980054397,0.10551558752997602,62.30505895777863,7.448436083408885,0.24610117915557247,0.13032925988063992,65.55645014129401,35.916251133272894
240222_top_95_V1.2_Experiment_Urinleft,33.013698630136986,2.0682230281051677,-0.33972602739726027,48.306148055207025,2.258046237533998,-0.033877038895859475,0.0948560872729959,49.15928193040821,41.74977334542157
