,distance_travelled_center,speed_in_hm/h,is_immobile,distance_nose_leftdish,distance_nose_rightdish,is_left_cagehalf,is_right_cagehalf,is_investigating_leftdish,is_investigating_rightdish
0,0.1540130487390672,0.1540130487390672,0.0,234.6763422866814,1013.2315366602298,1.0,0.0,0.0,0.0
1,0.12692931991965845,0.12692931991965845,0.0,234.0337834963257,1013.106113553361,1.0,0.0,0.0,0.0
2,0.13184440935686423,0.13184440935686423,0.0,229.6409658484702,1008.7677235040516,1.0,0.0,0.0,0.0
3,0.13371683630398937,0.13371683630398937,0.0,212.0799716791304,993.7483068704244,1.0,0.0,0.0,0.0
4,0.09724308507743923,0.09724308507743923,1.0,193.3409331327731,977.9437819472408,1.0,0.0,0.0,0.0
5,0.19799929443994593,0.19799929443994593,0.0,171.5298101441778,958.3246720116483,1.0,0.0,0.0,0.0
6,0.3169452920544042,0.3169452920544042,0.0,150.6242051574626,937.8228409632801,1.0,0.0,0.0,0.0
7,0.2464741807337977,0.2464741807337977,0.0,137.34717430370475,924.0643698355748,1.0,0.0,0.0,0.0
8,0.369262307208878,0.369262307208878,0.0,128.13453685322003,914.8534737584696,1.0,0.0,0.0,0.0
9,0.1717271952927413,0.1717271952927413,0.0,121.52130801742427,908.7265518583574,1.0,0.0,0.0,0.0
10,0.08190807196262238,0.08190807196262238,1.0,112.68759550387358,901.6460467517014,1.0,0.0,0.0,0.0
11,0.3224401395905091,0.3224401395905091,0.0,107.15600486816957,896.8423920282482,1.0,0.0,0.0,0.0
12,0.08227090568979271,0.08227090568979271,1.0,100.44651109295627,890.0595468971788,1.0,0.0,0.0,0.0
13,0.23846263148324506,0.23846263148324506,0.0,93.30709743415882,882.9980123074289,1.0,0.0,0.0,0.0
14,0.10178593507751524,0.10178593507751524,0.0,91.2741980306099,880.6629628172709,1.0,0.0,0.0,0.0
15,0.10910431019612292,0.10910431019612292,0.0,89.34255585009197,878.3079245636279,1.0,0.0,0.0,0.0
16,0.03674310572246882,0.03674310572246882,1.0,82.02427105246636,870.5134691649907,1.0,0.0,0.0,0.0
17,0.07945612319401064,0.07945612319401064,1.0,78.0677904786759,866.4844146785365,1.0,0.0,0.0,0.0
18,,,0.0,78.32620998305829,867.9653644349555,1.0,0.0,0.0,0.0
19,,,0.0,75.54928670542668,865.908796022204,,,0.0,0.0
20,0.23910217930382652,0.23910217930382652,0.0,72.39954860036768,862.7414254214025,1.0,0.0,0.0,0.0
21,0.33805030926449225,0.33805030926449225,0.0,72.1688635851935,862.726364516925,1.0,0.0,0.0,0.0
22,0.06983394185945412,0.06983394185945412,1.0,71.73274644946568,862.7668376290122,1.0,0.0,0.0,0.0
23,0.21772402622596887,0.21772402622596887,0.0,74.23459779181638,866.1325810598361,1.0,0.0,0.0,0.0
24,0.23558668588195616,0.23558668588195616,0.0,75.35097586812279,869.0235975899924,1.0,0.0,0.0,0.0
25,0.22149649387286566,0.22149649387286566,0.0,74.82913866330296,869.7199734070317,1.0,0.0,0.0,0.0
26,0.22550832758464165,0.22550832758464165,0.0,75.36310381834596,871.0208147982586,1.0,0.0,0.0,0.0
27,0.07954321770702655,0.07954321770702655,1.0,76.54468263859452,873.1744727206976,1.0,0.0,0.0,0.0
28,0.21919041992763827,0.21919041992763827,0.0,76.31328810118715,873.3539831791725,1.0,0.0,0.0,0.0
29,0.36653906557321275,0.36653906557321275,0.0,77.64374852576404,874.5639202063937,1.0,0.0,0.0,0.0
30,0.3273158028189853,0.3273158028189853,0.0,76.79899653381388,873.0925975491715,1.0,0.0,0.0,0.0
31,0.32048824692055433,0.32048824692055433,0.0,75.70451137202836,871.1937589821157,1.0,0.0,0.0,0.0
32,,,0.0,78.47663059509365,872.6119379843515,1.0,0.0,0.0,0.0
33,,,0.0,84.38077502019863,877.3184225303615,,,0.0,0.0
34,,,0.0,92.49258927936192,882.7399412748949,,,0.0,0.0
35,0.23304141983471788,0.23304141983471788,0.0,99.31051645219009,887.9629323481502,1.0,0.0,0.0,0.0
36,0.7500041290567738,0.7500041290567738,0.0,104.01987721527715,889.5142954560348,1.0,0.0,0.0,0.0
37,,,0.0,111.23875021210243,892.4535293707836,1.0,0.0,0.0,0.0
38,,,0.0,118.30914749698637,895.2422783885113,,,0.0,0.0
39,,,0.0,126.07113944352326,898.0806608077537,,,0.0,0.0
40,,,0.0,132.93038732450685,898.5742145634367,,,0.0,0.0
41,,,0.0,140.49027530646342,898.7407958531996,,,0.0,0.0
42,,,0.0,143.2443828072548,895.0618126363796,,,0.0,0.0
43,,,0.0,158.22213955439204,895.1851994542807,,,0.0,0.0
44,,,0.0,170.84875767942802,899.3182449622924,,,0.0,0.0
45,,,0.0,182.0560708880448,902.0123513216653,,,0.0,0.0
46,,,0.0,192.0549619849079,903.9270287991409,,,0.0,0.0
47,,,0.0,198.68288220637095,906.2957770958997,,,0.0,0.0
48,,,0.0,209.50596254056325,910.5429210825948,,,0.0,0.0
49,,,0.0,221.96898131930453,915.7169345097979,,,0.0,0.0
50,,,0.0,231.53558093283627,918.5123843384018,,,0.0,0.0
51,,,0.0,242.8916370278508,921.2625998087814,,,0.0,0.0
52,,,0.0,252.39445275236153,920.7921401018667,,,0.0,0.0
53,,,0.0,259.11231612930555,917.0718215455263,,,0.0,0.0
54,,,0.0,266.2899048602773,915.7584373048439,,,0.0,0.0
55,,,0.0,276.1904727364913,915.464552662148,,,0.0,0.0
56,,,0.0,285.0110899284486,914.4035606203157,,,0.0,0.0
57,,,0.0,293.2119449832097,912.4800660326254,,,0.0,0.0
58,,,0.0,300.15099228406115,911.3574996007114,,,0.0,0.0
59,,,0.0,306.7086405626239,914.6859596444514,,,0.0,0.0
60,,,0.0,311.2578314354949,917.325525510571,,,0.0,0.0
61,,,0.0,314.2877737490404,917.9855797285088,,,0.0,0.0
62,,,0.0,315.60230800173304,920.0230046663373,,,0.0,0.0
63,,,0.0,311.17476114012794,921.2962268473023,,,0.0,0.0
64,0.06564779695094236,0.06564779695094236,1.0,307.4941579766602,917.1475694935393,1.0,0.0,0.0,0.0
65,0.15688493346981083,0.15688493346981083,0.0,302.85227823881394,914.7977263514481,1.0,0.0,0.0,0.0
66,0.17595222914532163,0.17595222914532163,0.0,300.8851322610427,913.5155941827109,1.0,0.0,0.0,0.0
67,0.12601796360912565,0.12601796360912565,0.0,304.0990239577771,917.5682554401793,1.0,0.0,0.0,0.0
68,0.3270392604270542,0.3270392604270542,0.0,307.2607229905887,923.4516760004948,1.0,0.0,0.0,0.0
69,0.18958923544632872,0.18958923544632872,0.0,314.5947608867094,928.2346535045316,1.0,0.0,0.0,0.0
